symbol,direction,entry_date,entry_price,sl,target,exit_price,outcome,hit_t1,hold_bars,pnl_pct,R,or_range_pct,vol_mult,body_ratio
LT,short,2026-03-13 09:50:00,3588.7,3696.0,3426.6,3428.31,T2,True,62,4.37,1.46,2.48,2.07,0.66
LT,long,2026-03-17 10:00:00,3498.65,3450.5,3554.0,3545.23,EOD,True,62,1.23,0.89,0.99,2.13,0.65
LT,short,2026-03-20 11:00:00,3463.57,3524.0,3376.7,3438.92,EOD,True,50,0.61,0.35,1.4,1.72,0.84
LT,short,2026-03-23 09:45:00,3348.82,3409.2,3238.2,3347.67,EOD,True,65,-0.07,-0.04,1.7,1.6,0.57
LT,short,2026-04-02 10:05:00,3473.26,3536.0,3360.5,3537.77,SL,False,35,-1.96,-1.08,1.67,2.0,0.58
LT,long,2026-04-10 10:15:00,3961.38,3922.2,3988.8,3958.12,EOD,False,59,-0.18,-0.18,0.56,2.1,0.97
LT,long,2026-04-16 11:25:00,4142.47,4106.2,4198.6,4104.15,SL,False,14,-1.03,-1.17,0.75,1.67,0.61
LT,short,2026-04-17 10:50:00,4101.25,4141.8,4037.4,4094.95,EOD,False,52,0.05,0.05,0.84,3.41,0.57
LT,short,2026-04-22 09:45:00,4031.78,4068.4,3986.2,4029.01,EOD,True,65,-0.03,-0.03,0.68,1.59,0.83
LT,long,2026-04-23 09:50:00,4041.82,3979.8,4126.5,4049.17,EOD,False,64,0.08,0.05,1.21,1.56,0.55
LT,short,2026-04-24 09:50:00,4012.99,4088.0,3905.0,4015.01,EOD,False,64,-0.15,-0.08,1.51,2.72,0.84
LT,long,2026-04-27 10:50:00,4081.44,4045.0,4146.1,4050.97,EOD,False,52,-0.85,-0.95,0.83,1.65,0.58
LT,long,2026-04-29 11:10:00,4101.45,4052.3,4132.4,4094.05,EOD,True,48,-0.28,-0.23,0.66,2.54,0.9
LT,short,2026-04-30 10:25:00,4001.4,4078.0,3925.6,4014.91,EOD,False,57,-0.44,-0.23,1.26,1.8,0.79
LT,short,2026-05-08 10:50:00,3973.71,4014.0,3912.9,3976.49,EOD,False,52,-0.17,-0.17,0.85,1.66,0.89
LT,short,2026-05-11 10:15:00,3895.85,3943.0,3838.0,3944.97,SL,False,42,-1.36,-1.12,0.89,1.88,0.85
LT,long,2026-05-14 11:30:00,3982.49,3941.9,4031.9,3939.93,SL,False,21,-1.17,-1.15,0.76,2.06,0.91
LT,long,2026-05-18 11:30:00,3894.45,3856.5,3934.5,3918.44,EOD,True,44,0.52,0.53,0.67,1.63,0.84
LT,long,2026-05-19 11:30:00,3947.97,3910.0,4013.5,3920.04,EOD,False,44,-0.81,-0.84,0.88,1.81,0.89
LT,long,2026-05-22 10:50:00,3946.97,3902.2,4026.4,3925.04,EOD,False,52,-0.66,-0.58,1.05,3.62,0.81
LT,long,2026-05-25 09:45:00,4023.01,3976.6,4064.8,4032.28,EOD,True,65,0.13,0.11,0.73,2.53,0.86
LT,long,2026-05-26 11:15:00,4048.72,4014.2,4074.8,4035.88,EOD,False,47,-0.42,-0.49,0.5,3.35,0.9
LT,long,2026-05-27 10:50:00,4066.83,4033.1,4125.2,4031.08,SL,False,38,-0.98,-1.18,0.76,2.0,0.85
LT,long,2026-05-29 09:45:00,4100.05,4050.2,4148.0,4095.55,EOD,False,11,-0.21,-0.17,0.8,3.89,0.96
AXISBANK,short,2026-03-06 09:50:00,1328.34,1347.0,1300.5,1316.76,EOD,True,64,0.77,0.55,1.16,4.21,0.82
AXISBANK,long,2026-03-10 10:05:00,1300.45,1285.1,1322.9,1314.64,EOD,True,61,0.99,0.84,0.97,1.52,0.8
AXISBANK,short,2026-03-11 09:50:00,1298.35,1315.7,1272.8,1273.44,T2,True,27,1.82,1.36,1.1,1.62,0.84
AXISBANK,short,2026-03-13 10:05:00,1214.39,1234.5,1199.1,1199.7,T2,True,29,1.11,0.67,0.96,3.35,0.83
AXISBANK,long,2026-03-25 11:45:00,1226.51,1201.9,1259.5,1219.69,EOD,False,41,-0.66,-0.33,1.57,2.74,0.77
