symbol,direction,entry_date,entry_price,sl,target,exit_price,outcome,hold_bars,pnl_pct,R,grade,score,patterns,rsi,rs_vs_nifty,near_52wh,near_52wl
KOTAKBANK,long,2025-12-12,436.56,419.12,488.88,437.96,TIME_EXIT,15,0.22,0.08,S,90.0,"bullish_engulfing,breakout_5d_high",72.0,1.05,True,False
BAJFINANCE,short,2023-11-16,694.11,723.01,607.41,723.37,SL,1,-4.32,-1.01,B,75.0,breakout_5d_low,28.0,0.902,False,False
BAJFINANCE,short,2023-12-28,727.14,756.07,640.35,756.44,SL,5,-4.13,-1.01,B,70.0,bearish_pin_bar,41.0,0.932,False,False
BAJFINANCE,short,2024-11-29,651.57,677.61,573.45,677.95,SL,4,-4.15,-1.01,A,85.0,"bearish_engulfing,bearish_marubozu",29.0,0.948,False,True
BAJFINANCE,long,2025-01-29,766.11,735.68,857.4,856.97,TARGET,6,11.76,2.99,S,90.0,breakout_5d_high,57.0,1.148,True,False
BAJFINANCE,long,2025-01-30,785.39,754.35,878.51,843.52,TIME_EXIT,15,7.3,1.87,S,90.0,breakout_5d_high,63.0,1.147,True,False
BAJFINANCE,long,2025-01-31,792.9,761.3,887.7,839.53,TIME_EXIT,15,5.78,1.48,S,90.0,breakout_5d_high,66.0,1.113,True,False
BAJFINANCE,long,2025-03-24,910.05,874.39,1017.03,873.95,SL,5,-4.07,-1.01,A,85.0,breakout_5d_high,64.0,1.038,True,False
BAJFINANCE,long,2025-06-10,970.48,932.05,1085.77,931.59,SL,3,-4.11,-1.01,A,85.0,breakout_5d_high,67.0,1.058,True,False
BAJFINANCE,long,2025-07-24,970.48,931.75,1086.67,931.29,SL,1,-4.14,-1.01,S,90.0,"bullish_marubozu,breakout_5d_high",72.0,1.044,True,False
BAJFINANCE,short,2026-01-01,987.71,1027.18,869.3,943.32,TIME_EXIT,15,4.39,1.12,B,75.0,breakout_5d_low,34.0,0.959,False,False
BAJFINANCE,short,2026-01-06,977.51,1016.66,860.06,935.62,TIME_EXIT,15,4.19,1.07,B,70.0,bearish_pin_bar,32.0,0.932,False,False
BAJFINANCE,short,2026-01-07,972.56,1011.65,855.29,935.62,TIME_EXIT,15,3.7,0.95,B,70.0,bearish_pin_bar,37.0,0.944,False,False
BAJFINANCE,short,2026-01-28,914.24,950.83,804.47,951.31,SL,4,-4.15,-1.01,B,75.0,breakout_5d_low,27.0,0.944,False,False
BAJFINANCE,short,2026-02-03,959.52,995.67,851.07,996.17,SL,7,-3.92,-1.01,B,75.0,breakout_5d_low,34.0,0.958,False,False
BAJFINANCE,short,2026-04-01,832.38,864.44,736.2,864.88,SL,4,-4.0,-1.01,A,85.0,bearish_marubozu,30.0,0.903,False,True
HINDUNILVR,short,2023-09-18,2470.11,2549.41,2232.21,2550.69,SL,15,-3.36,-1.02,A,80.0,"bearish_pin_bar,breakout_5d_low",30.0,0.924,False,False
HINDUNILVR,short,2024-02-16,2368.76,2462.79,2086.67,2391.05,TIME_EXIT,15,-1.04,-0.24,A,80.0,breakout_5d_low,33.0,0.92,False,False
HINDUNILVR,short,2024-02-23,2387.36,2482.88,2100.8,2301.1,TIME_EXIT,15,3.51,0.9,B,75.0,bearish_engulfing,35.0,0.944,False,False
HINDUNILVR,short,2024-03-19,2282.11,2374.11,2006.11,2233.42,TIME_EXIT,15,2.03,0.53,A,80.0,breakout_5d_low,29.0,0.968,False,False
HINDUNILVR,short,2024-03-20,2248.88,2339.56,1976.83,2195.15,TIME_EXIT,15,2.29,0.59,A,80.0,breakout_5d_low,25.0,0.963,False,False
HINDUNILVR,short,2024-04-15,2226.59,2283.24,2056.64,2284.38,SL,14,-2.7,-1.02,A,80.0,breakout_5d_low,47.0,0.931,False,False
HINDUNILVR,short,2024-04-16,2181.91,2269.67,1918.63,2270.8,SL,4,-4.17,-1.01,A,85.0,"bearish_marubozu,breakout_5d_low",36.0,0.937,False,False
HINDUNILVR,short,2024-04-19,2218.89,2293.04,1996.44,2294.19,SL,11,-3.49,-1.02,B,75.0,bearish_pin_bar,43.0,0.953,False,False
HINDUNILVR,short,2024-12-10,2407.5,2503.53,2119.41,2323.26,TIME_EXIT,15,3.4,0.88,A,80.0,breakout_5d_low,47.0,0.953,False,False
HINDUNILVR,short,2024-12-13,2343.78,2437.58,2062.38,2377.39,TIME_EXIT,15,-1.53,-0.36,S,90.0,breakout_5d_low,35.0,0.927,False,True
HINDUNILVR,short,2025-12-11,2295.15,2387.22,2018.94,2349.17,TIME_EXIT,15,-2.45,-0.59,A,85.0,bearish_pin_bar,29.0,0.954,False,True
HINDUNILVR,short,2025-12-15,2259.47,2349.89,1988.21,2351.06,SL,13,-4.15,-1.01,S,90.0,"bearish_engulfing,breakout_5d_low",25.0,0.926,False,True
ITC,short,2024-02-07,418.66,435.28,368.8,393.35,TIME_EXIT,15,5.94,1.52,A,80.0,breakout_5d_low,26.0,0.901,False,False
ITC,short,2024-06-24,404.22,420.38,355.74,420.59,SL,10,-4.15,-1.01,S,90.0,breakout_5d_low,45.0,0.929,False,True
ITC,short,2025-08-19,406.15,419.65,365.65,419.86,SL,11,-3.48,-1.02,S,90.0,breakout_5d_low,44.0,0.965,False,True
LT,long,2023-09-29,3041.52,2921.12,3402.72,2956.82,TIME_EXIT,15,-2.88,-0.7,A,85.0,breakout_5d_high,72.0,1.101,False,False
LT,long,2023-10-04,3065.63,2942.7,3434.42,2941.23,SL,14,-4.16,-1.01,A,85.0,breakout_5d_high,74.0,1.132,False,False
LT,long,2023-12-04,3286.64,3159.01,3669.53,3488.31,TIME_EXIT,15,6.04,1.58,A,80.0,breakout_5d_high,74.0,1.032,False,False
LT,long,2024-04-01,3782.74,3632.18,4234.42,3630.36,SL,9,-4.13,-1.01,A,80.0,breakout_5d_high,59.0,1.067,False,False
LT,long,2024-12-04,3776.89,3625.41,4231.33,3623.59,SL,12,-4.16,-1.01,S,90.0,breakout_5d_high,61.0,1.038,True,False
LT,long,2025-10-16,3832.22,3679.07,4291.67,3916.54,TIME_EXIT,15,2.1,0.55,S,95.0,"bullish_marubozu,breakout_5d_high",67.0,1.04,True,False
AXISBANK,long,2023-12-01,1075.94,1032.97,1204.85,1087.76,TIME_EXIT,15,1.0,0.28,A,80.0,breakout_5d_high,66.0,1.037,False,False
AXISBANK,long,2023-12-04,1121.06,1076.87,1253.63,1093.7,TIME_EXIT,15,-2.54,-0.62,A,80.0,breakout_5d_high,71.0,1.065,False,False
AXISBANK,long,2023-12-05,1137.37,1092.35,1272.43,1091.8,SL,12,-4.11,-1.01,A,80.0,"bullish_pin_bar,breakout_5d_high",73.0,1.059,False,False
AXISBANK,long,2024-05-02,1156.58,1109.94,1296.5,1109.38,SL,7,-4.18,-1.01,A,85.0,breakout_5d_high,71.0,1.1,False,False
